Project;Risk;Stakeholder;idx
None;None;Students;44
New residential development projects;Environmental| economic| and social sustainability;Developers| policymakers| residents| environmental groups;45
Urban redevelopment;Environmental pollution;Competeting interests of various groups;46
None;None;None;47
Solar power projects;Gap between approved and operating capacity;Municipalities;48
Adaptation projects;Climate change;International community;49
conservation projects;uncertainty| affecting goals;conservation organization (The Nature Conservancy);50
Large-scale hydropower development;Ecological damage from project;Local communities| environmental groups;51
Design and build project;Competition in construction industry;Team members and clients;52
Urban regeneration initiatives;Economic feasibility;Private investors;53
Electricity generation sector;Increased emissions through offsets;Host countries| project developers| investors;0
Energy infrastructure projects (EU support for 16 natural gas projects);Limited lifetime of fossil investments due to decarbonization agenda;Project sponsors| implementers| and regulatory bodies involved in the energy sector;1
Construction project;Delayed project completion;Homeowners| builders| architects;2
Electricity sector;Emission reduction opportunities;Project developers| regulators| environment agencies;3
Road construction;Delay| cost overruns| instability in the industry;Construction companies| government agencies| affected communities;4
Overland natural gas pipeline connecting India and Iran via Pakistan.;Political tensions between India| Iran| and Pakistan.;India| Iran| Pakistan| and private companies involved in the project.;5
CDM projects distribution;Climate change impact;Developing countries;6
Construction industry;Motivating employees' innovative behaviors;Construction industry professionals in China;7
Afforestation projects;Environmental disasters| carbon sink depletion;Chinese government| carbon sequestration market (Finland);8
hydropower;development;public;9
Large dam project;Social impacts;Local population;10
Energy transition initiatives;Decentralization| citizen control;Community members;11
Road infrastructure project;Environmental impact;Policy- and decision-makers;12
Community woodfuel project;Reduced risk for local stakeholders;Local participants and developers;13
Solid waste management;None;Local communities;14
geothermal heating project;development;environmental agencies;15
Biogas Electricity Project;Uncertainty in market demand;Investors| Government Agencies;16
None;Financial and organizational sustainability;Local communities and NGOs;17
regeneration;development;practitioners;18
Cost-benefit study (4 words);Bias in analysis (4 words);Policy makers (4 words);19
Research and Technical Development (R&TD);Technical Difficulties (DEMO Installations);European Union (EU)| Bulgarian Government| Ukrainian Government;20
Yes;None;Local communities;21
International collaboration;Cultural differences;Organizations and individuals involved in international projects;22
challenges;difficulties;engineers;23
Nansen Programme;None;Developing nations;24
Soil and Water Conservation (SWC) project;Continuation of project benefits after funding stops;Farmers in southern Mali;25
Developing software.;Models might fail.;Users must collaborate.;26
Urban transformation projects;Loss of functionality and intensity of use (economic| physical| and social aspects);Users;27
Transmission grid planning;Safety and reliability;Provincial Power Grid Corp;28
Demonstration Project;None;EU| Organizations| River Managers;29
Developing sustainability competencies;None;Students| teachers| NGO;30
Biogas complex creation;External;Investors;31
Integration Project Delivery;None;General Contractors;32
International collaboration;Increased competition;Environmental organizations;33
Stream bank stabilization;Flooding;Landowners| conservation districts| NRCS| OKCC;34
Yes;None;Organizations;35
Construction partnering;Failure;Industry professionals;36
Oil industry projects;Development costs;Industry players;37
Waste treatment PPP in Greece;Financial sustainability;Private sector;38
Yes| Project Tiger Reserves.;Yes| potential default risk.;Yes| Project Tiger Reserves and pharmaceutical companies.;39
Small-scale hydropower projects;Economic loss due to reduced electricity production;Government administrators| project owners| public;40
Power infrastructure;None;Host countries;41
Energy efficiency projects;None;Society;42
Research projects;None;Scientific community;43
None;None;Students;44
New residential development projects;Environmental| economic| and social sustainability;Developers| policymakers| residents| environmental groups;45
Urban redevelopment;Environmental pollution;Competeting interests of various groups;46
Solar power projects;Gap between approved and operating capacity;Municipalities;48
Adaptation projects;Climate change;International community;49
conservation projects;uncertainty| affecting goals;conservation organization (The Nature Conservancy);50
Large-scale hydropower development;Ecological damage from project;Local communities| environmental groups;51
Design and build project;Competition in construction industry;Team members and clients;52
Urban regeneration initiatives;Economic feasibility;Private investors;53
Multi-generation and 50+ projects;None;Housing industry;60
Carbiocial| SuLaMa| TFO;None;SH;61
Control;Waterlogging;Environmental agency;62
Energy CDM projects;None;Brazilians;63
Energy efficiency project;None;Households| industries;64
Middle Route Project of China's South-North Water Transfer Scheme (SNWT).;Construction delays or cost overruns.;Government agencies| environmental groups| local communities| financial institutions.;65
Large-scale developments (4 words);Deepening center-periphery divide (4 words);City government and developers (4 words);66
CDM projects in Yemen may face difficulty securing financing... (4 words);Foreign investors' interest might be affected by... (4 words);Domestic project developers in Yemen perceive lack of financing... (4 words);67
Sustainable development initiative;Emerging market competition;Least developed countries;68
Restoration scheme;None;Environmental agencies;69
investment;none;local community;70
Low-carbon technology demo program;Delays| withdrawals| failure;EU Climate & Energy Policymakers;71
Household latrine promotion project;None;Local communities in rural Niger;72
water reuse project;none;authors;73
Conservation projects (3 words);Uncertainty (2 words);Public (2 words);74
construction;none;firm;75
Industrial sewage treatment;Environmental impact;Communities nearby;76
Training program;Health issues;General Practitioners;77
CDM (Clean Development Mechanism);Volatility in CER prices;Developed and developing countries| investors| governments;78
Hydropower mega-project;Economic and environmental;Political and public figures;79
Hydropower project;Optimal design;Analyst;80
Jeans Recycling Project;None;Open Innovation Team;81
Evaluation software;Development;Developers;82
Wind energy development;Decreased accuracy;Local communities;83
Highway projects (x2);Reduced pressures on bridges (x1)| improved global stability (x1);Engineers (x1);84
Sports Tourism Water Projects;Development;Local Residents;85
Integrated energy system (4 words);Safety concerns (4 words);Energy industry professionals (4 words);86
GT (Graphene Green Technology);Low;None;87
Desalination project;None;Local communities| environmental groups| government agencies| etc.;120
Geological Prospecting Industry;Safety;Employees;121
Sustainable construction projects;Environmental degradation;Society;122
Construction industry transition;Sustainability initiatives;Industry professionals;123
Building project;Environmental damage;Developers| architects| engineers| environmentalists;124
Highway construction;Multiple;Transportation planners;125
Green building projects;Schedule risk control;Project team members and clients;126
EbA projects;Social benefits and costs;Local communities;127
Citizen science projects;Social-ecological;Citizens;129
Cloud Condensation Nuclides (CCN);Variability in Measurements (e.g.| instrumental errors| sampling issues);Scientists studying cloud formation and properties| policymakers interested in climate change mitigation strategies;130
River rehabilitation;Environmental impact;Government agencies;180
Maritime Spatial Planning (MSP) projects;Limited scope for innovation;EU countries and relevant organizations involved in MSP;181
SDG implementation;Complexity;UN & partners;182
Large-scale restoration initiatives;High;International community;183
Wind power projects;None;Entrepreneurs;184
Parbati Stage II & III hydropower projects;Environmental disruption;Local communities| environmental groups;185
International High-Speed Railway (HSR) projects;Political risk| economic risk| operational risk| etc.;Government agencies| private companies| local communities| etc.;186
"Yes| matches the tag ""project"".";None;"Yes| matches the tag ""stakeholder"".";187
Distribution network planning project;Uncertainty in benefit evaluation;Power grid operators and planners;188
Nabucco gas pipeline project;Political factors leading to failure;Key regional energy stakeholders such as Turkey and Azerbaijan;189
Construction projects;Environmental sustainability;Practitioners (e.g.| architects| engineers| contractors);190
Sustainability project;None;Students| CEAT members| VC;191
Social innovation in rural areas (5 words);Deployment of projects (5 words);Local communities (4 words);192
Urban renewal initiative;Disturbance;Vulnerable populations;193
Transportation infrastructure construction projects;Financial losses due to various factors such as natural disasters| accidents| and delays.;Construction practitioners| insurance companies| government agencies| and environmental groups.;194
Conservation and development initiatives;Limited understanding of local context;Community members;195
Prefabricated buildings;Development costs;Developers| owners| government;196
Mining project;Socio-political risk;Community;197
Sustainable wine production management.;Climate change affecting wine quality.;French winemakers.;198
Ship Fuel-Saving Project;None;Students;199
TeQfor1| TERRAIN| Nachtlichter;N/A;Citizens;200
Survey;Low;Researchers;201
auction design;delay;project developers;202
Agricultural technology transfer;Lack of sustainability and effectiveness in African projects;Local governments| farmers| and other relevant parties involved in the project;203
Regional land-use planning project;Limited success;Townspeople;204
Construction projects;Moral hazard| adverse selection;Principal construction participants (client| contractors| material suppliers| consultants);205
Chu-Talas project;None;Both governments of Kazakhstan and Kyrgyzstan| as well as other entities involved in the project such as the OSCE and major donors.;206
Black Sea Scene;None;Scientists and universities involved in the project;208
Civil air defense infrastructure improvement project.;Poor survival of civil air defense in wartime.;Engineering team responsible for implementing the biogas tanks sewage treatment technology.;209
Gokova Project;None;EU SMAP III Programme;210
Tree planting projects;None;Evaluators;211
land consolidation;none;water managers;212
Industrial heritage renewal projects;Policy risks associated with Chinese projects;Relevant professionals;213
Railway infrastructure construction project;Significant extension of investment stages;Construction companies| government agencies| environmental groups;214
Building and construction sectors;Energy consumption necessitating greater commitment to sustainable development;Contractors| policymakers| environmentalists;215
Forest C sequestration projects;Low;Tropical country governments;216
Time-limited solution implementation;Uncertainty and complexity;Project team and decision-makers;218
None;None;None;219
Power plant;Competition;Electricity consumers;220
Sustainable built environment;Implementation challenges;Senior citizens;221
Community renewable energy project;None;Residents;222
Mitigation projects;Implementation challenges;Local communities;223
SnowView-project;None;Hydropower companies;224
Construction project;Delay| complexity| uncertainty;Project manager| contractors| clients;225
Stream restoration;Mitigation;Environmental regulators;226
Community Development and Natural Resource Management;None;Local Residents;227
water supply project;none;local residents| government agencies;228
Yes;None;Environmental organization;229
infrastructure projects;cost inaccuracy| environmental sustainability;practitioners| project managers| contractors| government agencies| community members;231
Construction projects;Implementation gaps;Design management practices;232
Higher education institutions;None;Students;233
"Yes| matches the tag ""project"".";None;None;234
wind farms;development;residents;235
Yes;None;Ministry of Environment;236
Co-production project;None;Local government| citizens;237
Sleipner;none;oil company| government agencies;238
Coastal ecosystem restoration projects;High degree of uncertainty;Planners and managers;239
Railway projects;Design errors| cooperation issues| loan risk| geopolitical tensions| complex terrain| environmental concerns;Governments of BRI countries| Chinese government| private companies involved in construction| local communities affected by projects;240
CLEAN;None;Partners in the R&D alliance;241
CO2Sink consortium;Low (related to CO2 leakage);;242
Citizen science initiatives;Environmental hazards;Local communities;243
Investigation;Falling support for renewable energy target;Participants in online experiment;244
Offshore wind power projects;N/A (no mention of risks);Investors| policymakers;245
CDM project;None;Developed country governments and business entities;246
Ocean Carbon Sequestration Project;none;Technical Committee (coauthors)| Environmental Impact Assessment Team;247
EPC method;Uncertainties| complexity;Project personnel| developers| investors;248
River restoration;Complexity| uncertainty| and change;Collaboration among various groups| including scientists| managers| and local communities.;249
Construction project;Cost overruns;Contractors| administrators| resource providers;250
Investing projects;Market competition;Investors;251
Integrated Assessment Modeling;Vagueness in Scenario Definition;Researchers with Different Disciplinary Backgrounds;252
None;Delayed project completion;Airport users;253
None;None;Company (as the analysis seems to focus on the effects of the change within the organization producing capital goods for the automotive industry);254
Biomass gasifier power projects;Sustainability of project;Developing countries| local communities;255
Terracing;Low;Local communities;256
Cross-border Nature Preservation Project;None;Tourists| Environmental Organizations| Local Communities;257
infrastructure project;allocation;contracting parties;258
Climate impact assessment;Economic losses;Scientists| policymakers;259
Urban rail transit (URT) projects in China.;Project failure| legal issues| financial risks.;Passengers| government agencies| private companies.;260
None;None;Students| teachers| school administration;261
"Yes| matches the tag ""project"".";No| none of the words suggest a risk.;"Yes| multiple mentions of ""stakeholders"" indicate this keyword.";262
High-rise building project;Execution difficulties;Engineers| builders;263
Green construction projects;Construction delays;Industry professionals;264
Restoration projects;None;Scientists and practitioners;265
Istanbul Canal;construction delays;local communities| environmental groups;266
Waste-to-Energy (WtE) Projects;None;Government and Private Sector;267
Industrial relic restoration projects;Brownfield pollution| dilapidated buildings;Historical block owners| local communities;268
Yes;None;All;269
Hydropower projects;Environmental impact;Regulators and developers;270
VOTALP;None;Scientific community;271
Middle South-North Water Diversion Project;Water pressure| structural integrity;Engineers| constructors| regulatory agencies;272
Cleaning up acid rock drainage;Environmental damage;Local communities;273
construction projects;cost risk;construction experts| investors| regulatory bodies;274
Sustainability transitions (5 words);Uncertainty (5 words);Design practitioners (5 words);275
Green building projects in Singapore;Cost estimation inaccuracy| cost overruns;Project managers in Singapore;276
wind power project;none;local communities;277
yes;none;many;278
Coal power projects;Environmental risks;Enterprises| governments| NGOs;279
Air transport;Environmental impact;Investors;280
Mega projects;High;Client;281
Industrial construction projects;Delay in execution times;Simulation study participants (e.g.| project managers| engineers| contractors);282
Research projects;None;Multiple;283
Yes;None;Many;284
Ongoing study;None;Students;285
TOCOEN;none;scientists;286
Radiological Protection Project;None;Member States;287
Community Forest Project;None;Local residents;288
Urban renewal project;None;City government| residents| environmental groups;289
Steel plant project;Optimal investment timing;Developers;290
Energy sector;Investment;Analysts;291
None;Negative emissions technology;Society of Chemical Industry;292
Marine Citizen Science Projects;None;European Coastal Society;293
construction project| building site| infrastructure development;hazards| accidents| injuries;workers| contractors| clients| regulatory agencies;294
Large wood restoration;None;Multiple (academic partnerships| local communities| environmental organizations);295
Low-energy housing;Limited policy support;Householders;296
Construction of an Intelligent Management and Control Platform for Power Grids;Safety;Project team| Power Grid Company| Regulatory bodies;297
Wind power development in Brazil;Economic viability;Renewable energy policy makers;298
Streetcar projects in China;Development;Cities and towns in China;299
CDM implementation;none;Developed and developing countries;300
Pilot;Prevent;Company;301
Wind power project;Development;Farmers;302
Medical facilities;None;Government;303
Major economic development initiatives;Delays| budget overruns;Government agencies;304
Rangeland degradation and rehabilitation project in Mier Rural Area| South Africa;Community apathy towards desertification;Local communities| government agencies| NGOs| environmentalists;305
Small wind projects;Technical and environmental risks;Community members and government agencies;306
Social investment project;Unknown;Society| state| business| future generations;307
Isahaya Bay land reclamation;Environmental damage;Local activists| media| government;308
Middle route of China's South-to-North Water Diversion Project (SNWD Project);Groundwater over-pumping;Local communities and farmers in Hebei province;309
DECOVAlex;Geological instability;Radioactive waste management organizations and regulatory authorities;310
Beach clean-up project;Harmful consequences;Environmental organization;311
Biological Treatment Plant;None;;312
gap;none;various;313
environmental project;pollution control;industries| government agencies| environmental groups;314
Hydropower;Development;Local communities;315
Sustainable investment strategies;Conservatism;Managers;316
Space@Sea;Sea level rise;People living near coastlines;317
Coastal infrastructure P3 projects;Negative impact;Companies;318
Restoration;None;Environmental agencies;319
Tourism PPP projects;Failure;Opposition;320
Sea area dredging project;None;Local authorities| marine engineers| environmentalists;321
yes;none;three;322
Utility-scale solar PV IPPs;Competition from other renewable energy sources;NamPower;323
Transmission and transformation projects;Construction delays;State Grid Corporation;324
Development of Life Cycle Impact Assessment for Products (LCA Project);None;Voluntary industrial associations;325
SVE-lines;Freeze;Operators;326
Energy Management;Financial;Facility Manager;327
Energy efficiency upgrade;None;Building owners;328
The development and implementation of a PPP project for ESPS.;Electrochemical storage power station (ESPS) construction and operation risks.;Banks| government agencies| private companies involved in ESPS construction and operation.;329
Industrial development;Environmental damage;Local residents;330
Land reclamation project;Medium to low;Local communities and environmental groups;331
Waste management project;Financial| technical| environmental| and social risks;Decision makers;332
TDR project;Career development challenges;Early-career scientists;333
Interdisciplinary research (5 words);Collaboration (5 words);Research team members (5 words);334
Reuse;Management;Industry;335
Conservation projects;None;Educational institutions;336
City resilience development;Uncertainty in standardization process;Relevant cities and communities;337
Agroforestry;None;Smallholders;338
CDM waste handling and disposal sector;Financial;Investors;339
Path-breaking decentralized wastewater treatment project in Ghent (Belgium);Decentralized wastewater treatment project;Local authorities| neighboring and more distant regimes;340
CORDEX.be;Uncertainty;Dialogue;341
Ming Change Dark River Closure Project;Environmental pollution;City government| residents| farmers;342
Restoration project;Environmental impact (ecological aspect);Local community and environmental organizations;343
Ecological restoration;Environmental damage;Local government;344
Landfill reclamation project;Technical and economic feasibility evaluation| potential environmental impacts;Researchers| landfill operators| regulatory agencies;345
Innovation;Disruption;Firms;346
Yes;None;Yes;347
Renewable energy projects;Development;Rural communities;348
Soil erosion monitoring system;Construction projects causing erosion;Government agencies responsible for environmental protection;349
Highway broadening project;Moderate biodiversity loss;Forest patches near the highway| local communities| environmental organizations;350
Industrial DSM projects;Deterioration without maintenance;Electricity consumers;351
None;Team dynamics and communication;Project team members and sponsors;352
hydroelectric dam;environmental impact;local communities| indigenous groups| government agencies| NGOs;353
Conservation plan;Damage to ecosystem;Local communities| environmental groups;354
Coal-resource integration in Shanxi Province;Environmental disruption;Developing countries or regions| mining industries| environmental organizations;355
Course;None;Students;356
Establishment of afforestation and reforestation projects in developing countries to assist industrialized countries meet emission reduction targets.;Developing country afforestation projects may face political| social| and economic risks.;Governments| NGOs| local communities| indigenous peoples| and international organizations involved in climate change mitigation efforts.;357
Urban regeneration;None;Citizens;358
Hidrovia waterway development;Environmental damage;Local communities| wildlife| government agencies;359
SDF (Sustainable Development of Floodplains);None;Trans-national cooperation involving multiple organizations and governments.;360
Protection Project;none;households;361
Restoration projects;Cost-effectiveness;Environmental policies;362
Urban rail transit PPP project;Security risks| introduction of PPP mode;Relevant practitioners| industry professionals;363
Oil sands development;Industrial development;Regulatory agencies;364
International Construction Project;Fluctuations;Contractors| Vendors;365
Mega projects;Environmental and socioeconomic impacts;Contractors;366
Hydropower development;Environmental damage| displacement of communities;Local communities| government agencies;367
Remediation;None;Citizens| government agencies;368
East River Water Source Project and Northern Inter-basin Water Transfer project in China;water pollution;Golden Mussels (Limnoperna fortunei) and water resource managers;369
Private participation in infrastructure projects;Financial;Multilateral development banks;370
Modelling initiative;Adapting decisions;Environmental managers;371
Treatment plant construction;Financial;Municipalidad| private owner| operator;372
Multi-Comfort House;none;Energy Efficiency Living;373
Large hydropower project;Geological instability;Engineers| scientists| regulatory authorities;374
infrastructure;environmental degradation;various (policymakers| contractors| EIA practitioners| general public);375
Wind energy development;Barriers to further development;Local residents| organizations;376
Hydropower development;Environmental damage;Local communities and ecosystems;377
Flood control project;Flooding;Residents| government agencies;378
Inclusive REDD+ pilot project;Community forest degradation;Local communities;379
PPP project;none;government agencies;380
Development;Complexity;Researchers;381
JI project;None;Investors and hosts;382
River rehabilitation (4 words);Environmental damage (4 words);Geologists (3 words);383
Environmental Impact Assessment;Perceived Benefit and Perceived Risk;Public Participation in PPP Projects;384
Real estate sustainability index;Environmental damage;Investors| developers| regulators;385
Landscape;Uncertainty;None;386
Water system improvement project;Data quality issues;Local communities (e.g.| residents| farmers);387
replacement project;none;investors;388
ICZM;None;Local govts.| NGOs;389
Teesta River basin development;potential environmental impact;local residents;390
Petroleum project (4 words);Environmental damage (4 words);Environmental agencies (4 words);391
Three Gorges Dam construction;environmental damage;None;392
Energy efficiency projects;Developing countries;Developing country governments;393
Stream Restoration Project;None;Environmental Organizations;394
Petrochemical project;Gas leak| explosion;Company officials| environmental regulators;395
None;None;Communities relying on locally collected medicinal plants;396
Biochar implementation in Tanzania;Medium;Local communities| project participants| government agencies;397
Livestock farming project;Environmental impact;Farmers| consumers| animal welfare groups;398
Transition;Difficulty predicting success;Multiple;399
bridge construction project;various risks identified and analyzed;proprietor (project owner);400
Navruz Project;Nuclear contamination;Scientists| governments| communities;401
LNG Terminal Project;None;ALSCO| ERG| GEOPLIN| HEP| INA| OMV| PLINACRO| RWE| TOTAL;402
Great Basin Research and Management Project;None;USDA Forest Service;403
Large water resources development initiatives|;Technical| environmental| social;Local communities| government agencies| NGOs;404
portfolio management;none;company GPN-Development;405
CDM project;Financial and operational risks;Carbon credit buyers and sellers;406
Dam and reservoir projects;Environmental impact;Environmental management team;407
Piping works construction;Delayed project completion;Project team| clients| suppliers;408
Carbon capture and storage;Environmental damage;Government agencies| energy companies;409
development;none;Shouguang (the city);410
Urban transition;Data quality issues;City officials;411
Landscape restoration;Ecological thresholds;Decision makers;412
Sustainable investment;Minimizing;Construction company;413
Compensation projects;Habitat loss;Conservationists;414
Rural telecom projects;Complexity & lack of capacity;Partners involved;415
Yes;None;Yes;416
FarmClim;None;Partners;417
Coal-Seq;None;Burlington Resources| BP America;418
SARAH;Radon exposure;Building owners| occupants;419
None;Ecosystem disruption / environmental damage;Government agencies / private companies involved in land use planning;420
Green project;Efficiency challenges;Building owners;421
None;N/A;None;422
Relocation;Disaster;Residents;423
Radiation Dose Reconstruction;Technical and Managerial Challenges;Tens of Thousands of Individual Claimants;424
Ethos;None;Local population| scientists;425
Green projects;Technical challenges;The TerraGreen Society;426
green balance;none;user;427
bridge construction;various (e.g.| safety| timeline| budget);proprietor (owner)| possibly also engineers| contractors| local government authorities;428
Coordination;None;Nordic Council of Ministers;429
Infrastructure development;None;Partners;430
Vegetation Greening Project;None;Environmental Agency;431
Process improvement projects;Sustainability-related risks| such as environmental damage or social inequality| could be mitigated through this approach.;Decision makers| including those responsible for sustainability and process engineering| would benefit from using this metric.;432
Water resource development;Environmental damage;Government agencies| NGOs| local communities;433
Development;Infrastructure;Environment;435
PREPARE;Disaster response;Emergency managers;436
None;Health hazards from pesticides;Farmworkers| communities;437
TPSI rating system;none;developers;438
Water supply system;None;Government agencies| water utilities| local communities;439
Beach Fill Program;Low;City of Carlsbad;440
Contaminated site cleanup;Environmental damage;Government agencies;441
Carbon offset program;Forest degradation;Environmental groups;442
yes;none;many;443
BIG (Building Inclusive Gender);Low;City administrations and researchers;444
LNG point-supply venture;Safety hazards;Project leaders;445
Citizen science initiatives;Volunteer errors;Scientific community;446
Fourth Drainage Project in Faisalabad;Water logging and salinity;Local communities| farmers| environmentalists;447
South-to-north Water Diversion Project;Lack of water resources| failure of project implementation;Local residents| government agencies involved in water management;448
CDM project;none;Developing countries;449
UHV power transmission construction project;Management risk| social risk;Multi-agent collaboration| complex construction environment;450
Yes| aligned with the theme of environmental governance and projects.;None;None;451
Urban renewal projects;Unsustainable problems (environmental| social| economic);Residents (in-situ)| government agencies| consultants| community groups;452
Offshore MRE project;Environmental damage| impact on marine life;Government agencies| renewable energy companies| environmental groups;453
MHDP;Earthquakes;Policy makers| emergency responders;454
Health Development Project;None;Mothers| Family Members;455
neighborhood project;none identified;kindergartens (and possibly parents and communities);456
SCPEC;Financial constraints;Pakistani and Chinese economies;457
Energy projects (e.g.| nuclear| wind| solar);Earthquakes caused by gas extraction;Local communities affected by earthquakes;458
capping;instability;environmental agency;459
Renewable Energy Source Development;Low;Governments| Developing Countries| Private Sector;460
ACCESS;None;EU;461
transformation;none;power grid;462
Desalination facility;Heat stress;Utilities;463
Construction project management;Technological risks associated with implementing new software and hardware.;Project managers| architects| engineers| contractors| clients| regulatory authorities.;464
Residential project;Cost savings;Construction team;465
Portfolio management;Dependencies;Analyst;466
CDM projects in China;Legal system| carbon leakage| technology transfer| market position;Chinese government| enterprises| environmental groups;467
Conservation projects;None;Environmentalists;468
Urbanization and construction;Environmental damage;Contractors| government| and society;469
Citizen Science Projects;Pandemic;Public Health Officials| Scientists;470
Implemented CBPR approach for HIV prevention among urban adolescents;Disproportionate impact of HIV/AIDS on AAYAs;Community members and organizations involved in HIV prevention efforts;471
Wetland restoration optimization study ($$project$$);Urgent environmental protection task ($$risk$$);Environmental scientists and practitioners ($$stakeholder$$);472
PPP project;Sustainability concerns;Contractors;473
Urban water environment treatment PPP projects;Government financial pressure;Residents| government agencies;474
Detroit River Restoration Initiative;Habitat destruction;Multiple organizations and individuals;475
Smart energy city projects (5 words);Implementation (5 words);Citizens (5 words);476
The World's Largest Hydroelectric Project in China.;Construction delays or cost overruns.;Local communities| environmental groups| government agencies.;477
clustering;none;researchers| practitioners;478
Power grid infrastructure projects (5 words);Investment efficiency (5 words);Grid enterprises (5 words);479
Rural electrification in Fiji;Costly transition to green energy;Community involvement crucial;480
Photovoltaic poverty alleviation project;Insufficient profits;Government agencies| taxpayers;481
South-to-north water diversion project;Water scarcity;Local communities| industries| government agencies;482
Ecological afforestation project;Environmental degradation;Local communities and government agencies involved in the project;483
Energy project;Development;Public;484
Micro-hydroelectric power generation;Financial;Local investors| government agencies;485
Construction sector P3P projects;None;Private organizations| government agencies;486
Koga irrigation and watershed management project;Compromised sustainability;Local communities and downstream fishers;487
Major water conservancy projects (MWCPs);Social stability risk;Local communities and environmental groups;488
Natural gas extraction;Ongoing energy projects;Local communities;489
Madrid Nuevo Norte;None;Local authorities;490
Biogas project in Hita| Japan;Operational challenges;Local government| investors| operators;491
Urban regeneration;Environmental degradation;Municipalities and experts;492
Energy-saving investment project (5 words);Uncertainty in project timeline (4 words);Decision-makers within the firm (4 words);493
REDD;Deforestation;Communities| government agencies| NGOs;494
Sustainable wind and solar energy development in Croatia;Environmental impact;Government agencies| environmental groups| renewable energy companies;495
infrastructure projects;implementation challenges;project actors| clients| suppliers| regulators;496
Social housing project;None;Client;497
Bridge construction;Cost overrun;Decision makers;498
Transportation and compression of CO2.;Injection of CO2 into reservoirs (geological storage).;Local communities| environmental groups| government agencies.;499
Developing Policies & Adaptation Strategies to Climate Change in the Baltic Sea Region (ASTRA);Climate change impacts in the Baltic Sea Region;Policy makers| scientists| environmental organizations;500
Fishnet;Decline in fish population;Various parties involved in the project;501
Geotechnical engineering project in port (e.g.| foundation stability analysis);Port infrastructure failure (e.g.| collapse);Engineers| architects| contractors involved in port development;502
Land use-related projects;None;Scientific community;503
Middle Route SNWD;Security;Environmental Organizations;504
Reconstruction of infrastructure;Political instability;Government and international aid agencies;505
Joint water supply project between community and corporation;Community vandalism due to perceived profiteering;Local institutions working with rural communities;506
Electric vehicle development;Compliance issues;Car manufacturers;507
Multifaceted international scale project;Emergence of Turkish influence;Nominal groups| professional experts| Hungarian government agencies;508
Yes;None;Universities| researchers| industry partners;509
Sustainable construction project management.;Construction delays or cost overruns.;Owners| contractors| policymakers.;510
Public-private partnership road project;Efficiency reduction;Users;511
Wind energy development;Uncertainty in electricity market regulations;Government| investors;512
Citizen Science Initiative;None;None;513
Sustainability;Environmental impact;Corporate social responsibility;514
Construction industry;Delay factors;Leadership self-efficacy;515
Investment project;Market fluctuations;Company management;516
Stream Restoration Projects;Unknown;Scientists| Conservationists;517
