beg;des;val
investors;Electricity generation sector;0.142857143
Increased emissions through offsets;investors;1
Electricity generation sector;investors;1
Electricity generation sector;project developers;1
Electricity generation sector;project developers;1
investors;Electricity generation sector;1
project developers;Electricity generation sector;1
investors;Electricity generation sector;1
investors;Increased emissions through offsets;1
Electricity generation sector;investors;1
Electricity generation sector;project developers;1
investors;Electricity generation sector;1
Host countries;Electricity generation sector;0.5
Electricity generation sector;Host countries;1
investors;Host countries;0.142857143
Increased emissions through offsets;Host countries;1
Host countries;investors;1
Host countries;Electricity generation sector;1
Host countries;Electricity generation sector;1
Electricity generation sector;Host countries;1
Electricity generation sector;Host countries;1
investors;Host countries;1
Host countries;Increased emissions through offsets;1
Host countries;investors;1
Host countries;Electricity generation sector;1
Electricity generation sector;Host countries;1
project developers;Host countries;0.5
investors;Host countries;0.142857143
Increased emissions through offsets;Host countries;1
Host countries;Electricity generation sector;0.5
Electricity generation sector;Host countries;1
investors;Host countries;1
project developers;Host countries;1
Host countries;Electricity generation sector;1
Electricity generation sector;Host countries;1
investors;Host countries;1
Host countries;Electricity generation sector;1
Electricity generation sector;Host countries;1
Host countries;Electricity generation sector;1
Electricity generation sector;Host countries;1
Host countries;project developers;1
investors;Host countries;1
investors;Electricity generation sector;1
investors;Host countries;1
Host countries;Electricity generation sector;1
Electricity generation sector;Host countries;1
Host countries;investors;1
Host countries;Electricity generation sector;1
Electricity generation sector;Host countries;1
Host countries;project developers;1
Host countries;project developers;1
investors;Electricity generation sector;1
investors;Host countries;1
investors;Increased emissions through offsets;1
Host countries;investors;1
Host countries;project developers;1
Limited lifetime of fossil investments due to decarbonization agenda;Energy infrastructure projects (EU support for 16 natural gas projects);1
Energy infrastructure projects (EU support for 16 natural gas projects);Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;Project sponsors;1
Project sponsors;Limited lifetime of fossil investments due to decarbonization agenda;1
Project sponsors;Energy infrastructure projects (EU support for 16 natural gas projects);1
Energy infrastructure projects (EU support for 16 natural gas projects);Project sponsors;1
Limited lifetime of fossil investments due to decarbonization agenda;Project sponsors;1
Project sponsors;Limited lifetime of fossil investments due to decarbonization agenda;1
Energy infrastructure projects (EU support for 16 natural gas projects);Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;Energy infrastructure projects (EU support for 16 natural gas projects);1
Limited lifetime of fossil investments due to decarbonization agenda;Project sponsors;1
Project sponsors;Limited lifetime of fossil investments due to decarbonization agenda;1
Project sponsors;implementers;1
implementers;Project sponsors;1
Limited lifetime of fossil investments due to decarbonization agenda;implementers;1
implementers;Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;Project sponsors;1
Project sponsors;Limited lifetime of fossil investments due to decarbonization agenda;1
implementers;Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;implementers;1
Limited lifetime of fossil investments due to decarbonization agenda;Project sponsors;1
Project sponsors;Limited lifetime of fossil investments due to decarbonization agenda;1
implementers;Energy infrastructure projects (EU support for 16 natural gas projects);1
Energy infrastructure projects (EU support for 16 natural gas projects);implementers;1
Limited lifetime of fossil investments due to decarbonization agenda;implementers;1
implementers;Limited lifetime of fossil investments due to decarbonization agenda;1
Energy infrastructure projects (EU support for 16 natural gas projects);Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;Energy infrastructure projects (EU support for 16 natural gas projects);1
Limited lifetime of fossil investments due to decarbonization agenda;implementers;1
implementers;Limited lifetime of fossil investments due to decarbonization agenda;1
Project sponsors;implementers;1
implementers;Project sponsors;1
Energy infrastructure projects (EU support for 16 natural gas projects);Project sponsors;1
Project sponsors;Energy infrastructure projects (EU support for 16 natural gas projects);1
Project sponsors;implementers;1
implementers;Project sponsors;1
Limited lifetime of fossil investments due to decarbonization agenda;Project sponsors;1
Project sponsors;Limited lifetime of fossil investments due to decarbonization agenda;1
implementers;Limited lifetime of fossil investments due to decarbonization agenda;1
Energy infrastructure projects (EU support for 16 natural gas projects);Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;implementers;1
Limited lifetime of fossil investments due to decarbonization agenda;Project sponsors;1
Limited lifetime of fossil investments due to decarbonization agenda;Project sponsors;1
Project sponsors;Limited lifetime of fossil investments due to decarbonization agenda;1
Project sponsors;Limited lifetime of fossil investments due to decarbonization agenda;1
implementers;Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;Energy infrastructure projects (EU support for 16 natural gas projects);1
Limited lifetime of fossil investments due to decarbonization agenda;implementers;1
Limited lifetime of fossil investments due to decarbonization agenda;Project sponsors;1
Project sponsors;Limited lifetime of fossil investments due to decarbonization agenda;1
and regulatory bodies involved in the energy sector;implementers;1
implementers;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Project sponsors;1
Project sponsors;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Project sponsors;1
Project sponsors;and regulatory bodies involved in the energy sector;1
implementers;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;implementers;1
and regulatory bodies involved in the energy sector;Project sponsors;1
Project sponsors;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
Project sponsors;and regulatory bodies involved in the energy sector;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
and regulatory bodies involved in the energy sector;Project sponsors;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
implementers;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;implementers;1
implementers;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
Project sponsors;and regulatory bodies involved in the energy sector;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
Project sponsors;and regulatory bodies involved in the energy sector;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
and regulatory bodies involved in the energy sector;Project sponsors;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
and regulatory bodies involved in the energy sector;Project sponsors;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;implementers;1
and regulatory bodies involved in the energy sector;Energy infrastructure projects (EU support for 16 natural gas projects);1
Energy infrastructure projects (EU support for 16 natural gas projects);and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
Energy infrastructure projects (EU support for 16 natural gas projects);and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Energy infrastructure projects (EU support for 16 natural gas projects);1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Project sponsors;1
Project sponsors;and regulatory bodies involved in the energy sector;1
Energy infrastructure projects (EU support for 16 natural gas projects);and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Energy infrastructure projects (EU support for 16 natural gas projects);1
and regulatory bodies involved in the energy sector;Project sponsors;1
Project sponsors;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
Project sponsors;and regulatory bodies involved in the energy sector;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
Energy infrastructure projects (EU support for 16 natural gas projects);and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
and regulatory bodies involved in the energy sector;Project sponsors;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
Project sponsors;and regulatory bodies involved in the energy sector;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Energy infrastructure projects (EU support for 16 natural gas projects);1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
and regulatory bodies involved in the energy sector;Project sponsors;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;implementers;1
implementers;and regulatory bodies involved in the energy sector;1
Energy infrastructure projects (EU support for 16 natural gas projects);and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Energy infrastructure projects (EU support for 16 natural gas projects);1
and regulatory bodies involved in the energy sector;implementers;1
implementers;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Project sponsors;1
Project sponsors;and regulatory bodies involved in the energy sector;1
implementers;and regulatory bodies involved in the energy sector;1
Energy infrastructure projects (EU support for 16 natural gas projects);and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;implementers;1
and regulatory bodies involved in the energy sector;Project sponsors;1
and regulatory bodies involved in the energy sector;Project sponsors;1
Project sponsors;and regulatory bodies involved in the energy sector;1
Project sponsors;and regulatory bodies involved in the energy sector;1
implementers;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Energy infrastructure projects (EU support for 16 natural gas projects);1
and regulatory bodies involved in the energy sector;implementers;1
and regulatory bodies involved in the energy sector;Project sponsors;1
Project sponsors;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
implementers;and regulatory bodies involved in the energy sector;1
Energy infrastructure projects (EU support for 16 natural gas projects);implementers;1
and regulatory bodies involved in the energy sector;implementers;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
implementers;and regulatory bodies involved in the energy sector;1
implementers;Energy infrastructure projects (EU support for 16 natural gas projects);1
and regulatory bodies involved in the energy sector;implementers;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
Energy infrastructure projects (EU support for 16 natural gas projects);implementers;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
implementers;and regulatory bodies involved in the energy sector;1
Project sponsors;implementers;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
implementers;and regulatory bodies involved in the energy sector;1
Project sponsors;implementers;1
and regulatory bodies involved in the energy sector;Project sponsors;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
Project sponsors;and regulatory bodies involved in the energy sector;1
and regulatory bodies involved in the energy sector;Project sponsors;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
Project sponsors;and regulatory bodies involved in the energy sector;1
implementers;Project sponsors;1
and regulatory bodies involved in the energy sector;implementers;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
implementers;Project sponsors;1
and regulatory bodies involved in the energy sector;implementers;1
and regulatory bodies involved in the energy sector;Limited lifetime of fossil investments due to decarbonization agenda;1
Limited lifetime of fossil investments due to decarbonization agenda;and regulatory bodies involved in the energy sector;1
implementers;Energy infrastructure projects (EU support for 16 natural gas projects);1
builders;Homeowners;0.666666667
Homeowners;builders;1
Delayed project completion;Homeowners;0.4
Homeowners;Delayed project completion;1
builders;Delayed project completion;0.666666667
Delayed project completion;builders;0.4
Homeowners;builders;1
builders;Homeowners;1
builders;Delayed project completion;1
Delayed project completion;builders;1
Construction project;Homeowners;0.333333333
Homeowners;Construction project;1
Construction project;Delayed project completion;0.333333333
Homeowners;Construction project;1
Delayed project completion;Construction project;0.4
Construction project;Delayed project completion;1
Construction project;Homeowners;1
Delayed project completion;Construction project;1
builders;Construction project;0.666666667
Construction project;builders;0.333333333
Homeowners;builders;1
builders;Homeowners;1
builders;Construction project;1
Construction project;builders;1
builders;Construction project;0.666666667
Construction project;builders;0.333333333
Homeowners;builders;1
Delayed project completion;builders;0.4
builders;Delayed project completion;1
builders;Delayed project completion;1
builders;Construction project;1
Construction project;builders;1
Construction project;builders;1
Delayed project completion;builders;1
builders;Delayed project completion;1
builders;Homeowners;1
builders;Construction project;1
Construction project;builders;1
architects;Homeowners;0.285714286
Homeowners;architects;1
Construction project;architects;0.333333333
architects;Construction project;0.285714286
Homeowners;Construction project;1
Construction project;Homeowners;1
Construction project;architects;1
architects;Construction project;1
Delayed project completion;architects;0.4
architects;Delayed project completion;0.285714286
Homeowners;Delayed project completion;1
Delayed project completion;Homeowners;1
Delayed project completion;architects;1
architects;Delayed project completion;1
Delayed project completion;Construction project;0.4
architects;Delayed project completion;0.285714286
Homeowners;Delayed project completion;1
Construction project;Delayed project completion;0.333333333
Delayed project completion;Construction project;1
Delayed project completion;Construction project;1
Delayed project completion;architects;1
architects;Delayed project completion;1
Construction project;Delayed project completion;1
Construction project;Delayed project completion;1
Delayed project completion;Construction project;1
Delayed project completion;Homeowners;1
Delayed project completion;architects;1
Construction project;Delayed project completion;1
builders;architects;0.666666667
architects;builders;0.285714286
Homeowners;builders;1
builders;Homeowners;1
builders;architects;1
architects;builders;1
builders;Delayed project completion;0.666666667
Delayed project completion;builders;0.4
architects;builders;0.285714286
Homeowners;builders;1
builders;architects;1
builders;Delayed project completion;1
builders;Delayed project completion;1
Delayed project completion;builders;1
Delayed project completion;builders;1
architects;builders;1
builders;Homeowners;1
builders;architects;1
builders;Delayed project completion;1
Delayed project completion;builders;1
builders;Construction project;0.666666667
Construction project;builders;0.333333333
architects;builders;0.285714286
Homeowners;builders;1
builders;architects;1
builders;Construction project;1
builders;Construction project;1
Construction project;builders;1
Construction project;builders;1
architects;builders;1
builders;Homeowners;1
builders;architects;1
builders;Construction project;1
Construction project;builders;1
Homeowners;builders;1
Construction project;builders;0.333333333
Delayed project completion;builders;0.4
builders;Delayed project completion;0.666666667
architects;builders;0.285714286
Construction project;builders;1
Delayed project completion;builders;1
builders;Delayed project completion;1
architects;builders;1
Construction project;builders;1
builders;Delayed project completion;1
Construction project;builders;1
builders;Construction project;1
Delayed project completion;builders;1
builders;Delayed project completion;1
Construction project;builders;1
builders;Delayed project completion;1
Construction project;builders;1
builders;Construction project;1
Delayed project completion;builders;1
builders;Delayed project completion;1
builders;architects;1
Construction project;builders;1
builders;Delayed project completion;1
builders;Construction project;1
builders;architects;1
Construction project;builders;1
builders;Delayed project completion;1
builders;Construction project;1
builders;Homeowners;1
Electricity sector;regulators;1
regulators;Electricity sector;0.333333333
Emission reduction opportunities;Electricity sector;1
Electricity sector;Emission reduction opportunities;1
Emission reduction opportunities;regulators;1
regulators;Emission reduction opportunities;0.333333333
Emission reduction opportunities;regulators;1
regulators;Emission reduction opportunities;0.333333333
Electricity sector;Emission reduction opportunities;1
Emission reduction opportunities;Electricity sector;1
Emission reduction opportunities;regulators;1
regulators;Emission reduction opportunities;1
Project developers;Emission reduction opportunities;1
Emission reduction opportunities;Project developers;1
Project developers;Electricity sector;1
Electricity sector;Project developers;1
Project developers;Emission reduction opportunities;1
Emission reduction opportunities;Project developers;1
Electricity sector;Project developers;1
Project developers;Electricity sector;1
Project developers;Emission reduction opportunities;1
Emission reduction opportunities;Project developers;1
Project developers;regulators;1
regulators;Project developers;0.333333333
Project developers;regulators;1
regulators;Project developers;0.333333333
Electricity sector;Project developers;1
Project developers;Electricity sector;1
Project developers;regulators;1
regulators;Project developers;1
Project developers;regulators;1
regulators;Project developers;0.333333333
Emission reduction opportunities;Project developers;1
Project developers;Emission reduction opportunities;1
Project developers;regulators;1
regulators;Project developers;1
Project developers;regulators;1
regulators;Project developers;0.333333333
Emission reduction opportunities;Project developers;1
Electricity sector;Project developers;1
Project developers;Electricity sector;1
Project developers;Electricity sector;1
Project developers;regulators;1
regulators;Project developers;1
regulators;Project developers;1
Emission reduction opportunities;Project developers;1
Project developers;Electricity sector;1
Project developers;Emission reduction opportunities;1
Project developers;regulators;1
regulators;Project developers;1
Project developers;environment agencies;1
environment agencies;Project developers;1
Emission reduction opportunities;environment agencies;1
environment agencies;Emission reduction opportunities;1
Emission reduction opportunities;Project developers;1
environment agencies;Emission reduction opportunities;1
Project developers;Emission reduction opportunities;1
Emission reduction opportunities;Project developers;1
Emission reduction opportunities;environment agencies;1
Project developers;Emission reduction opportunities;1
Electricity sector;environment agencies;1
environment agencies;Electricity sector;1
Electricity sector;Emission reduction opportunities;1
environment agencies;Electricity sector;1
Emission reduction opportunities;Electricity sector;1
Electricity sector;Emission reduction opportunities;1
Electricity sector;environment agencies;1
Emission reduction opportunities;Electricity sector;1
Electricity sector;Project developers;1
environment agencies;Electricity sector;1
Project developers;Electricity sector;1
Electricity sector;Project developers;1
Electricity sector;environment agencies;1
Project developers;Electricity sector;1
Electricity sector;Project developers;1
environment agencies;Electricity sector;1
Project developers;Electricity sector;1
Emission reduction opportunities;Electricity sector;1
Electricity sector;Project developers;1
Electricity sector;Emission reduction opportunities;1
Electricity sector;Project developers;1
Project developers;Electricity sector;1
Emission reduction opportunities;Electricity sector;1
Project developers;Electricity sector;1
Electricity sector;Emission reduction opportunities;1
Electricity sector;Project developers;1
Electricity sector;environment agencies;1
Project developers;Electricity sector;1
regulators;environment agencies;0.333333333
environment agencies;regulators;1
regulators;Electricity sector;0.333333333
environment agencies;regulators;1
Electricity sector;regulators;1
regulators;Electricity sector;1
regulators;environment agencies;1
Electricity sector;regulators;1
regulators;Emission reduction opportunities;0.333333333
environment agencies;regulators;1
Emission reduction opportunities;regulators;1
regulators;Emission reduction opportunities;1
regulators;environment agencies;1
Emission reduction opportunities;regulators;1
regulators;Emission reduction opportunities;0.333333333
environment agencies;regulators;1
Emission reduction opportunities;regulators;1
Electricity sector;regulators;1
regulators;Electricity sector;1
regulators;Electricity sector;1
regulators;Emission reduction opportunities;1
Emission reduction opportunities;Electricity sector;1
Electricity sector;regulators;1
Emission reduction opportunities;regulators;1
regulators;Electricity sector;1
regulators;Emission reduction opportunities;1
regulators;environment agencies;1
Emission reduction opportunities;regulators;1
regulators;Project developers;0.333333333
environment agencies;regulators;1
Project developers;regulators;1
regulators;Project developers;1
regulators;environment agencies;1
Project developers;regulators;1
regulators;Project developers;0.333333333
environment agencies;regulators;1
Project developers;regulators;1
Emission reduction opportunities;regulators;1
regulators;Project developers;1
regulators;Emission reduction opportunities;1
regulators;Project developers;1
Project developers;regulators;1
Emission reduction opportunities;Project developers;1
Project developers;regulators;1
regulators;Emission reduction opportunities;1
regulators;Project developers;1
regulators;environment agencies;1
Project developers;regulators;1
regulators;Project developers;0.333333333
environment agencies;regulators;1
Project developers;regulators;1
Electricity sector;regulators;1
regulators;Project developers;1
regulators;Electricity sector;1
regulators;Project developers;1
Project developers;Electricity sector;1
Electricity sector;Project developers;1
Project developers;regulators;1
regulators;Electricity sector;1
regulators;Project developers;1
regulators;environment agencies;1
Project developers;regulators;1
Project developers;Electricity sector;1
regulators;Project developers;0.333333333
environment agencies;Project developers;1
Emission reduction opportunities;Project developers;1
Electricity sector;Project developers;1
Project developers;Electricity sector;1
Project developers;Electricity sector;1
Project developers;Electricity sector;1
Project developers;regulators;1
regulators;Project developers;1
regulators;Project developers;1
regulators;Project developers;1
Emission reduction opportunities;Project developers;1
Electricity sector;Project developers;1
Emission reduction opportunities;Project developers;1
Project developers;Electricity sector;1
Project developers;Electricity sector;1
Project developers;Emission reduction opportunities;1
Project developers;Electricity sector;1
Project developers;regulators;1
Project developers;regulators;1
regulators;Project developers;1
regulators;Project developers;1
regulators;Project developers;1
Emission reduction opportunities;Project developers;1
Project developers;Electricity sector;1
Project developers;Emission reduction opportunities;1
Project developers;environment agencies;1
Project developers;regulators;1
regulators;Project developers;1
Road construction;Construction companies;1
Construction companies;Road construction;0.666666667
Road construction;Delay;1
Delay;Road construction;0.4
Road construction;Delay;1
Delay;Road construction;0.4
Construction companies;Road construction;0.666666667
Road construction;Construction companies;1
Road construction;Delay;1
Delay;Road construction;1
Road construction;cost overruns;1
cost overruns;Road construction;0.285714286
Road construction;cost overruns;1
Delay;Road construction;0.4
cost overruns;Road construction;0.285714286
Road construction;cost overruns;1
Road construction;Delay;1
cost overruns;Road construction;0.666666667
Road construction;cost overruns;1
Construction companies;Road construction;0.666666667
cost overruns;Road construction;0.285714286
Road construction;cost overruns;1
Road construction;Construction companies;1
cost overruns;Road construction;1
Road construction;cost overruns;1
Construction companies;Road construction;0.666666667
Delay;Road construction;0.4
cost overruns;Road construction;0.285714286
Road construction;cost overruns;1
Road construction;cost overruns;1
Road construction;Delay;1
Delay;cost overruns;1
cost overruns;Road construction;1
cost overruns;Road construction;0.666666667
Road construction;cost overruns;1
Road construction;Delay;1
Road construction;Construction companies;1
cost overruns;Road construction;1
Road construction;government agencies;1
Road construction;government agencies;1
cost overruns;Road construction;0.285714286
Road construction;cost overruns;1
Road construction;government agencies;1
government agencies;Road construction;0.666666667
Road construction;government agencies;1
Delay;Road construction;0.4
Road construction;Delay;1
Road construction;government agencies;1
government agencies;Road construction;1
Road construction;government agencies;1
Delay;Road construction;0.4
cost overruns;Road construction;0.285714286
Road construction;cost overruns;1
Road construction;cost overruns;1
Road construction;government agencies;1
government agencies;cost overruns;1
government agencies;Road construction;0.666666667
cost overruns;Road construction;0.666666667
Road construction;cost overruns;1
Road construction;Delay;1
Road construction;government agencies;1
government agencies;Road construction;1
Road construction;government agencies;1
Construction companies;Road construction;0.666666667
Road construction;Construction companies;1
Road construction;government agencies;1
government agencies;Road construction;0.666666667
Road construction;government agencies;1
Delay;Road construction;0.4
Construction companies;Road construction;0.666666667
Road construction;Delay;1
Road construction;government agencies;1
Road construction;government agencies;1
government agencies;Road construction;1
government agencies;Road construction;0.666666667
Delay;Road construction;1
Road construction;Construction companies;1
Road construction;Delay;1
Road construction;government agencies;1
government agencies;Road construction;1
Road construction;cost overruns;1
cost overruns;Road construction;0.285714286
Construction companies;Road construction;0.666666667
Road construction;government agencies;1
Road construction;cost overruns;1
Road construction;cost overruns;1
cost overruns;Road construction;0.666666667
cost overruns;Road construction;1
government agencies;cost overruns;0.666666667
