antecedents;consequents;antecedent support;consequent support;support;confidence;lift;leverage;conviction;zhangs_metric
methodology| approach;design;0.000306579;0.003433687;0.000214605;0.7;203.8625;0.000213553;3.32188771;0.995399902
study| area;region;0.000214605;0.000674474;0.000122632;0.571428571;847.2207792;0.000122487;2.33175956;0.999034068
study| region;area;0.00015329;0.000827764;0.000122632;0.8;966.4592593;0.000122505;4.995861181;0.99911845
area| region;study;0.00015329;0.013274879;0.000122632;0.8;60.26420323;0.000120597;4.933625605;0.98355717
infrastructure| management;construction;0.000337237;0.007235269;0.000183948;0.545454545;75.38828968;0.000181508;2.184082408;0.987068216
infrastructure| projects;development;0.000183948;0.0061929;0.000122632;0.666666667;107.650165;0.000121493;2.981421301;0.990892923
projects| development;infrastructure;0.000306579;0.003127108;0.000122632;0.4;127.9137255;0.000121673;1.66145482;0.992486506
infrastructure| environmental groups;government agencies;0.00015329;0.013397511;0.000122632;0.8;59.71258581;0.000120578;4.933012447;0.983403857
infrastructure| government agencies;environmental groups;0.000214605;0.003801582;0.000122632;0.571428571;150.3133641;0.000121816;2.324462975;0.993560455
insurance;Climate change;0.000275921;0.0135508;0.000122632;0.444444444;32.79839115;0.000118893;1.77560856;0.969778282
regulatory agencies| local communities;environmental groups;0.000367895;0.003801582;0.00015329;0.416666667;109.6034946;0.000151891;1.707768717;0.991240876
management| investors;customers;0.000490527;0.008461586;0.000337237;0.6875;81.2495471;0.000333086;3.172922926;0.988176966
management| customers;investors;0.000827764;0.009105402;0.000337237;0.407407407;44.74348422;0.0003297;1.672134634;0.978460311
regulators| investors;customers;0.001440922;0.008461586;0.000705132;0.489361702;57.83333333;0.00069294;1.941762728;0.984126984
regulators| customers;investors;0.001318291;0.009105402;0.000705132;0.534883721;58.74355963;0.000693129;2.130423386;0.984274417
employees| regulators;customers;0.00073579;0.008461586;0.000643816;0.875;103.4085145;0.00063759;7.932307315;0.991058828
regulators| customers;employees;0.001318291;0.005916978;0.000643816;0.488372093;82.53741415;0.000636016;1.942980451;0.98918832
employees| regulators;investors;0.00073579;0.009105402;0.000490527;0.666666667;73.21661055;0.000483827;2.972683794;0.987068172
employees| investors;regulators;0.001195659;0.005365136;0.000490527;0.41025641;76.46710623;0.000484112;1.68655477;0.988103917
employees| regulators| investors;customers;0.000490527;0.008461586;0.000398553;0.8125;96.02219203;0.000394402;5.288204877;0.990071397
employees| regulators| customers;investors;0.000643816;0.009105402;0.000398553;0.619047619;67.98685265;0.000392691;2.60109832;0.985926029
customers| employees| investors;regulators;0.000950395;0.005365136;0.000398553;0.419354839;78.16294931;0.000393454;1.712982266;0.988145343
customers| regulators| investors;employees;0.000705132;0.005916978;0.000398553;0.565217391;95.52466772;0.000394381;2.28639095;0.990229743
employees| regulators;customers| investors;0.00073579;0.001808817;0.000398553;0.541666667;299.4590395;0.000397222;2.177871672;0.997394518
researchers| regulators;developers;0.000306579;0.008522901;0.000122632;0.4;46.9323741;0.000120019;1.652461831;0.978992885
researchers| regulators;investors;0.000306579;0.009105402;0.000122632;0.4;43.92996633;0.00011984;1.651490997;0.977536187
regulators| communities;customers;0.000398553;0.008461586;0.000214605;0.538461538;63.63600892;0.000211233;2.148333231;0.984678073
employees| communities;regulators;0.000429211;0.005365136;0.000183948;0.428571429;79.88081633;0.000181645;1.740611012;0.987905369
regulators| communities;employees;0.000398553;0.005916978;0.000183948;0.461538462;78.00239139;0.000181589;1.846154183;0.987573481
regulators| communities;investors;0.000398553;0.009105402;0.000183948;0.461538462;50.68842269;0.000180319;1.840232825;0.980662475
employees| regulators| communities;customers;0.000183948;0.008461586;0.000183948;1;118.1811594;0.000182391;inf;0.991720839
customers| employees| communities;regulators;0.000398553;0.005365136;0.000183948;0.461538462;86.02549451;0.000181809;1.847179033;0.988769616
customers| regulators| communities;employees;0.000214605;0.005916978;0.000183948;0.857142857;144.861584;0.000182678;6.958581152;0.993310028
employees| communities;regulators| customers;0.000429211;0.001318291;0.000183948;0.428571429;325.0963455;0.000183382;1.747692992;0.997352063
regulators| communities;employees| customers;0.000398553;0.002513949;0.000183948;0.461538462;183.5909944;0.000182946;1.852474094;0.99494965
regulators| investors| communities;customers;0.000183948;0.008461586;0.000122632;0.666666667;78.78743961;0.000121075;2.974615243;0.987489268
customers| regulators| communities;investors;0.000214605;0.009105402;0.000122632;0.571428571;62.75709476;0.000120678;2.312087396;0.984276778
customers| investors| communities;regulators;0.000245263;0.005365136;0.000122632;0.5;93.19428571;0.000121316;1.989269728;0.98951242
researchers| regulators;engineers;0.000306579;0.021092648;0.000122632;0.4;18.96395349;0.000116165;1.631512253;0.947558881
engineers| regulators;researchers;0.000275921;0.021644491;0.000122632;0.444444444;20.53383695;0.00011666;1.761039917;0.951562452
researchers| regulators;analysis;0.000306579;0.010331719;0.000122632;0.4;38.715727;0.000119464;1.649447136;0.974469455
analysis| regulators;researchers;0.000183948;0.021644491;0.000122632;0.666666667;30.80075543;0.00011865;2.935066528;0.967711272
regulators| management;customers;0.000337237;0.008461586;0.000183948;0.545454545;64.46245059;0.000181094;2.181384512;0.984819211
regulators| management;investors;0.000337237;0.009105402;0.00015329;0.454545455;49.92041628;0.000150219;1.816640096;0.980298709
regulators| management| investors;customers;0.00015329;0.008461586;0.000122632;0.8;94.54492754;0.000121335;4.957692072;0.989574709
regulators| management| customers;investors;0.000183948;0.009105402;0.000122632;0.666666667;73.21661055;0.000120957;2.972683794;0.986523366
management team;customers;0.000459869;0.008461586;0.000245263;0.533333333;63.02995169;0.000241372;2.124725174;0.984587308
and regulatory authorities;architects;0.000183948;0.008522901;0.00015329;0.833333333;97.77577938;0.000151722;5.948862591;0.989954618
and regulatory authorities;engineers;0.000183948;0.021092648;0.000122632;0.666666667;31.60658915;0.000118752;2.936722055;0.968539188
and regulatory authorities| engineers;architects;0.000122632;0.008522901;0.000122632;1;117.3309353;0.000121586;inf;0.9915987
and regulatory authorities| architects;engineers;0.00015329;0.021092648;0.000122632;0.8;37.92790698;0.000119398;4.894536759;0.973783461
and regulatory authorities;engineers| architects;0.000183948;0.006254215;0.000122632;0.666666667;106.5947712;0.000121481;2.981237354;0.990800932
researchers| Climate change;policymakers;0.000551843;0.017658961;0.000367895;0.666666667;37.75231481;0.00035815;2.947023116;0.97404908
water pollution| loss of biodiversity;soil erosion;0.000122632;0.001348948;0.000122632;1;741.3181818;0.000122466;inf;0.998773533
water pollution| soil erosion;loss of biodiversity;0.000214605;0.001532896;0.000122632;0.571428571;372.7771429;0.000122303;2.329756576;0.997531508
loss of biodiversity| soil erosion;water pollution;0.000275921;0.001011711;0.000122632;0.444444444;439.2996633;0.000122353;1.79817892;0.997999019
architects;engineers;0.008522901;0.021092648;0.006254215;0.73381295;34.78998662;0.006074445;3.677516808;0.979605175
engineers| contractors;architects;0.004598688;0.008522901;0.002421976;0.526666667;61.79429257;0.002382781;2.094669926;0.988362446
contractors| architects;engineers;0.002881844;0.021092648;0.002421976;0.840425532;39.84447674;0.00236119;6.134486071;0.977720056
researchers| architects;engineers;0.000398553;0.021092648;0.000367895;0.923076923;43.76296959;0.000359488;12.72579557;0.977539232
researchers| policymakers| architects;engineers;0.000122632;0.021092648;0.000122632;1;47.40988372;0.000120045;inf;0.979027412
government agencies| architects;engineers;0.000429211;0.021092648;0.000306579;0.714285714;33.86420266;0.000297526;3.426175731;0.970887008
government agencies| engineers| architects;contractors;0.000306579;0.009044086;0.000122632;0.4;44.22779661;0.000119859;1.65159319;0.977689524
government agencies| contractors| architects;engineers;0.00015329;0.021092648;0.000122632;0.8;37.92790698;0.000119398;4.894536759;0.973783461
| architects;engineers;0.000306579;0.021092648;0.00015329;0.5;23.70494186;0.000146823;1.957814704;0.95810844
policymakers| architects;engineers;0.000551843;0.021092648;0.000551843;1;47.40988372;0.000540203;inf;0.979447853
construction companies| architects;engineers;0.000429211;0.021092648;0.000398553;0.928571429;44.02346346;0.0003895;13.70470292;0.977704482
construction companies| contractors;engineers;0.000429211;0.021092648;0.000183948;0.428571429;20.31852159;0.000174894;1.713087866;0.951192083
developers| construction companies;engineers;0.000245263;0.021092648;0.000122632;0.5;23.70494186;0.000117458;1.957814704;0.958049678
Building owners;engineers;0.001348948;0.021092648;0.000827764;0.613636364;29.09242865;0.000799311;2.533642558;0.966931136
Building owners| engineers;architects;0.000827764;0.008522901;0.000521185;0.62962963;73.87503331;0.00051413;2.676988166;0.987280862
Building owners| architects;engineers;0.000521185;0.021092648;0.000521185;1;47.40988372;0.000510191;inf;0.979417809
researchers| Building owners;engineers;0.00015329;0.021092648;0.000122632;0.8;37.92790698;0.000119398;4.894536759;0.973783461
Building owners| contractors;engineers;0.000214605;0.021092648;0.000214605;1;47.40988372;0.000210079;inf;0.979117476
Building owners| contractors;architects;0.000214605;0.008522901;0.00015329;0.714285714;83.80781089;0.000151461;3.470169845;0.988280028
Building owners| engineers| contractors;architects;0.000214605;0.008522901;0.00015329;0.714285714;83.80781089;0.000151461;3.470169845;0.988280028
Building owners| contractors| architects;engineers;0.00015329;0.021092648;0.00015329;1;47.40988372;0.000150056;inf;0.979057431
Building owners| contractors;engineers| architects;0.000214605;0.006254215;0.00015329;0.714285714;114.2086835;0.000151947;3.478110246;0.99145687
Building owners| occupants;engineers;0.000459869;0.021092648;0.000183948;0.4;18.96395349;0.000174248;1.631512253;0.947704199
occupants| architects;Building owners;0.000245263;0.001348948;0.000122632;0.5;370.6590909;0.000122301;1.997302103;0.997546765
Building owners| engineers| occupants;architects;0.000183948;0.008522901;0.000122632;0.666666667;78.2206235;0.000121064;2.974431296;0.987397277
Building owners| occupants| architects;engineers;0.000122632;0.021092648;0.000122632;1;47.40988372;0.000120045;inf;0.979027412
engineers| occupants| architects;Building owners;0.000214605;0.001348948;0.000122632;0.571428571;423.6103896;0.000122342;2.330185787;0.997853485
occupants| architects;Building owners| engineers;0.000245263;0.000827764;0.000122632;0.5;604.037037;0.000122429;1.998344472;0.99858939
structural integrity;engineers;0.000306579;0.021092648;0.000122632;0.4;18.96395349;0.000116165;1.631512253;0.947558881
damage| analysis;earthquake;0.000398553;0.002636581;0.000214605;0.538461538;204.2271914;0.000213555;2.160954074;0.995500252
damage| earthquake;analysis;0.000429211;0.010331719;0.000214605;0.5;48.39465875;0.000210171;1.979336563;0.979757085
analysis| earthquake;damage;0.000306579;0.003035134;0.000214605;0.7;230.6323232;0.000213675;3.32321622;0.995969438
study| earthquake;analysis;0.000183948;0.010331719;0.000122632;0.666666667;64.52621167;0.000120731;2.969004844;0.984683552
analysis| earthquake;study;0.000306579;0.013274879;0.000122632;0.4;30.13210162;0.000118562;1.644541868;0.967109298
study| damage;earthquake;0.000306579;0.002636581;0.000122632;0.4;151.7116279;0.000121823;1.662272365;0.993713199
study| earthquake;damage;0.000183948;0.003035134;0.000122632;0.666666667;219.6498316;0.000122073;2.990894598;0.995630443
engineers| urban planners;architects;0.000183948;0.008522901;0.000183948;1;117.3309353;0.00018238;inf;0.991659512
urban planners| architects;engineers;0.000337237;0.021092648;0.000183948;0.545454545;25.85993658;0.000176834;2.153596174;0.96165445
men;women;0.00015329;0.000705132;0.000122632;0.8;1134.53913;0.000122524;4.996474339;0.999271763
study| cost;analysis;0.000275921;0.010331719;0.000183948;0.666666667;64.52621167;0.000181097;2.969004844;0.984774142
cost| analysis;study;0.000367895;0.013274879;0.000183948;0.5;37.66512702;0.000179064;1.973450242;0.973808502
cost| organization;analysis;0.000306579;0.010331719;0.000122632;0.4;38.715727;0.000119464;1.649447136;0.974469455
study| cost;investigation;0.000275921;0.007541848;0.000122632;0.444444444;58.93044264;0.000120551;1.786424673;0.983302156
cost| investigation;study;0.000183948;0.013274879;0.000122632;0.666666667;50.22016936;0.00012019;2.960175363;0.980268
research| cost;investigation;0.000122632;0.007541848;0.000122632;1;132.5934959;0.000121707;inf;0.992579874
cost| investigation;research;0.000183948;0.007879085;0.000122632;0.666666667;84.61219196;0.000121182;2.976362744;0.988363179
project managers| engineers;contractors;0.000245263;0.009044086;0.000122632;0.5;55.28474576;0.000120413;1.981911828;0.982152714
project managers| contractors;engineers;0.000245263;0.021092648;0.000122632;0.5;23.70494186;0.000117458;1.957814704;0.958049678
time| optimization;construction;0.000245263;0.007235269;0.000122632;0.5;69.1059322;0.000120857;1.985529462;0.985771236
time| construction;optimization;0.000245263;0.003127108;0.000122632;0.5;159.8921569;0.000121865;1.993745785;0.993989574
time| optimization;cost;0.000245263;0.003893556;0.00015329;0.625;160.5216535;0.000152335;2.656283851;0.994014106
time| optimization;management;0.000245263;0.009779876;0.000122632;0.5;51.12539185;0.000120233;1.980440248;0.980680773
environmentalists| Farmers;policymakers;0.000214605;0.017658961;0.000183948;0.857142857;48.53869048;0.000180158;6.876387271;0.979608108
Farmers| Climate change;policymakers;0.000367895;0.017658961;0.000183948;0.5;28.31423611;0.000177451;1.964682077;0.96503711
researchers| Farmers;policymakers;0.000245263;0.017658961;0.000214605;0.875;49.54991319;0.000210274;7.85872831;0.980058702
employees| managers;customers;0.000490527;0.008461586;0.000214605;0.4375;51.70425725;0.000210455;1.762734959;0.981140508
managers| customers;employees;0.000459869;0.005916978;0.000214605;0.466666667;78.86908463;0.000211884;1.863905666;0.987775008
managers| investors;customers;0.000398553;0.008461586;0.000183948;0.461538462;54.5451505;0.000180575;1.841428484;0.982057967
managers| customers;investors;0.000459869;0.009105402;0.000183948;0.4;43.92996633;0.00017976;1.651490997;0.977686103
employees| managers| investors;customers;0.000122632;0.008461586;0.000122632;1;118.1811594;0.000121594;inf;0.991660023
employees| managers| customers;investors;0.000214605;0.009105402;0.000122632;0.571428571;62.75709476;0.000120678;2.312087396;0.984276778
customers| managers| investors;employees;0.000183948;0.005916978;0.000122632;0.666666667;112.6701209;0.000121543;2.982249065;0.991306881
managers| regulators;customers;0.000122632;0.008461586;0.000122632;1;118.1811594;0.000121594;inf;0.991660023
organization| managers;management;0.000183948;0.009779876;0.000122632;0.666666667;68.16718913;0.000120833;2.970660372;0.985511468
engineers| occupants;building owners;0.000521185;0.003893556;0.000245263;0.470588235;120.8633627;0.000243234;1.881534395;0.992243336
engineers| occupants;architects;0.000521185;0.008522901;0.000214605;0.411764706;48.31273804;0.000210163;1.685511068;0.979812188
occupants| architects;engineers;0.000245263;0.021092648;0.000214605;0.875;41.48364826;0.000209432;7.831258814;0.976133526
owners;engineers;0.00236066;0.021092648;0.001042369;0.441558442;20.93423437;0.000992577;1.752927118;0.954484569
owners;contractors;0.00236066;0.009044086;0.000950395;0.402597403;44.51499009;0.000929045;1.65877403;0.979848747
engineers| owners;architects;0.001042369;0.008522901;0.000551843;0.529411765;62.11637749;0.000542959;2.106888834;0.984927845
owners| architects;engineers;0.000643816;0.021092648;0.000551843;0.857142857;40.63704319;0.000538263;6.852351462;0.976020288
owners| architects;contractors;0.000643816;0.009044086;0.000490527;0.761904762;84.24342211;0.000484704;4.162014838;0.988766221
contractors| owners;architects;0.000950395;0.008522901;0.000490527;0.516129032;60.55790207;0.000482427;2.04905267;0.984422469
engineers| owners| architects;contractors;0.000551843;0.009044086;0.000398553;0.722222222;79.85574388;0.000393562;3.56744129;0.988022652
owners| contractors| architects;engineers;0.000490527;0.021092648;0.000398553;0.8125;38.52053052;0.000388206;5.220839209;0.974517845
engineers| contractors| owners;architects;0.000613158;0.008522901;0.000398553;0.65;76.26510791;0.000393327;2.83279171;0.987493334
owners| architects;engineers| contractors;0.000643816;0.004598688;0.000398553;0.619047619;134.6139683;0.000395592;2.612928444;0.993210796
contractors| owners;engineers| architects;0.000950395;0.006254215;0.000398553;0.419354839;67.05154965;0.000392609;1.711451073;0.986023214
engineers| owners;contractors;0.001042369;0.009044086;0.000613158;0.588235294;65.04087737;0.000603731;2.40660722;0.985652467
contractors| owners;engineers;0.000950395;0.021092648;0.000613158;0.64516129;30.58702176;0.000593112;2.7587389;0.968226593
developers| owners;engineers;0.000275921;0.021092648;0.00015329;0.555555556;26.33882429;0.00014747;2.202541541;0.962298752
developers| owners;contractors;0.000275921;0.009044086;0.000122632;0.444444444;49.14199623;0.000120136;1.783720645;0.979921187
construction| owners;contractors;0.000183948;0.009044086;0.000122632;0.666666667;73.71299435;0.000120968;2.972867742;0.986615356
builders| owners;engineers;0.00015329;0.021092648;0.000122632;0.8;37.92790698;0.000119398;4.894536759;0.973783461
research| safety;study;0.000398553;0.013274879;0.000245263;0.615384615;46.35707941;0.000239973;2.565485315;0.978818433
study| safety;research;0.000490527;0.007879085;0.000245263;0.5;63.45914397;0.000241398;1.98424183;0.984724864
research| safety;investigation;0.000398553;0.007541848;0.000183948;0.461538462;61.19699812;0.000180942;1.843136568;0.984051526
investigation| safety;research;0.000459869;0.007879085;0.000183948;0.4;50.76731518;0.000180324;1.653534858;0.980753305
research| study| safety;investigation;0.000245263;0.007541848;0.000122632;0.5;66.29674797;0.000120782;1.984916304;0.985157927
research| investigation| safety;study;0.000183948;0.013274879;0.000122632;0.666666667;50.22016936;0.00012019;2.960175363;0.980268
study| investigation| safety;research;0.000183948;0.007879085;0.000122632;0.666666667;84.61219196;0.000121182;2.976362744;0.988363179
organization| safety;management;0.000459869;0.009779876;0.000183948;0.4;40.90031348;0.00017945;1.650366873;0.975999141
safety| management;organization;0.000429211;0.005916978;0.000183948;0.428571429;72.43079201;0.000181408;1.739645288;0.986617184
investigation| safety;study;0.000459869;0.013274879;0.000183948;0.4;30.13210162;0.000177843;1.644541868;0.967257614
| safety;organization;0.000367895;0.005916978;0.000183948;0.5;84.50259067;0.000181771;1.988166043;0.988529718
organization| safety;;0.000459869;0.017076461;0.000183948;0.4;23.42405745;0.000176095;1.638205899;0.957749287
| safety;study;0.000367895;0.013274879;0.00015329;0.416666667;31.38760585;0.000148406;1.691528779;0.968496596
infrastructure| maintenance;safety;0.000245263;0.004690662;0.000122632;0.5;106.5947712;0.000121481;1.990618677;0.990861699
infrastructure| maintenance;management;0.000245263;0.009779876;0.00015329;0.625;63.90673981;0.000150891;2.640586997;0.984593683
infrastructure| management;maintenance;0.000337237;0.001931449;0.00015329;0.454545455;235.3391053;0.000152638;1.829792344;0.99608673
infrastructure| maintenance;construction;0.000245263;0.007235269;0.00015329;0.625;86.38241525;0.000151515;2.647372616;0.988666053
infrastructure| construction| maintenance;management;0.00015329;0.009779876;0.000122632;0.8;81.80062696;0.000121133;4.951100619;0.987926594
infrastructure| management| maintenance;construction;0.00015329;0.007235269;0.000122632;0.8;110.5694915;0.000121523;4.963823656;0.99110784
management| construction| maintenance;infrastructure;0.000214605;0.003127108;0.000122632;0.571428571;182.7338936;0.000121961;2.326036749;0.994741038
infrastructure| construction| management;maintenance;0.000183948;0.001931449;0.000122632;0.666666667;345.1640212;0.000122276;2.994205653;0.997286275
infrastructure| maintenance;construction| management;0.000245263;0.00073579;0.000122632;0.5;679.5416667;0.000122451;1.99852842;0.998773382
| maintenance;management;0.000122632;0.009779876;0.000122632;1;102.2507837;0.000121432;inf;0.990341571
construction| maintenance;management;0.000398553;0.009779876;0.000214605;0.538461538;55.0581143;0.000210708;2.145476935;0.982228843
management| maintenance;construction;0.000429211;0.007235269;0.000214605;0.5;69.1059322;0.0002115;1.985529462;0.985952644
design| maintenance;construction;0.000245263;0.007235269;0.00015329;0.625;86.38241525;0.000151515;2.647372616;0.988666053
users (e.g;manufacturers;0.000214605;0.001992765;0.000122632;0.571428571;286.7516484;0.000122204;2.328683549;0.996726565
environmental groups| environmental impact;local communities;0.000306579;0.008921454;0.00015329;0.5;56.04467354;0.000150554;1.982157091;0.982458292
regulatory authorities| engineers;architects;0.000398553;0.008522901;0.000275921;0.692307692;81.22910902;0.000272524;3.22230057;0.988082946
regulatory authorities| architects;engineers;0.000367895;0.021092648;0.000275921;0.75;35.55741279;0.000268161;3.915629407;0.972234149
regulatory authorities| contractors;architects;0.000275921;0.008522901;0.000183948;0.666666667;78.2206235;0.000181596;2.974431296;0.987488117
regulatory authorities| architects;contractors;0.000367895;0.009044086;0.000183948;0.5;55.28474576;0.00018062;1.981911828;0.982273201
regulatory authorities| engineers;contractors;0.000398553;0.009044086;0.000183948;0.461538462;51.03207301;0.000180343;1.840346697;0.980795379
regulatory authorities| contractors;engineers;0.000275921;0.021092648;0.000183948;0.666666667;31.60658915;0.000178128;2.936722055;0.968628293
regulatory authorities| engineers| contractors;architects;0.000183948;0.008522901;0.00015329;0.833333333;97.77577938;0.000151722;5.948862591;0.989954618
regulatory authorities| engineers| architects;contractors;0.000275921;0.009044086;0.00015329;0.555555556;61.42749529;0.000150794;2.229650806;0.983992149
regulatory authorities| contractors| architects;engineers;0.000183948;0.021092648;0.00015329;0.833333333;39.50823643;0.00014941;5.873444111;0.974868147
regulatory authorities| contractors;engineers| architects;0.000275921;0.006254215;0.00015329;0.555555556;88.82897603;0.000151564;2.235928015;0.989015303
regulatory authorities| architects;engineers| contractors;0.000367895;0.004598688;0.00015329;0.416666667;90.60555556;0.000151598;1.706402249;0.989327118
fatality;injury;0.000367895;0.001870133;0.000183948;0.5;267.3606557;0.00018326;1.996259734;0.996626388
scientists| Climate change;policymakers;0.000490527;0.017658961;0.000367895;0.75;42.47135417;0.000359233;3.929364155;0.97693393
scientists| analysis;researchers;0.000306579;0.021644491;0.000183948;0.6;27.72067989;0.000177312;2.445888773;0.964221459
scientists| analysis;policymakers;0.000306579;0.017658961;0.000122632;0.4;22.65138889;0.000117218;1.637235064;0.956145731
analysis| policymakers;scientists;0.000306579;0.008492244;0.000122632;0.4;47.10180505;0.000120028;1.652512927;0.979069553
scientists| government agencies;engineers;0.000306579;0.021092648;0.000122632;0.4;18.96395349;0.000116165;1.631512253;0.947558881
study| scientists;analysis;0.000214605;0.010331719;0.000122632;0.571428571;55.30818143;0.000120414;2.30922599;0.982130263
scientists| analysis;study;0.000306579;0.013274879;0.000122632;0.4;30.13210162;0.000118562;1.644541868;0.967109298
scientists| local communities;policymakers;0.000367895;0.017658961;0.000183948;0.5;28.31423611;0.000177451;1.964682077;0.96503711
developers| scientists;engineers;0.000245263;0.021092648;0.000183948;0.75;35.55741279;0.000178774;3.915629407;0.972114893
developers| scientists;researchers;0.000245263;0.021644491;0.000183948;0.75;34.65084986;0.000178639;3.913422037;0.971378923
researchers| developers| scientists;engineers;0.000183948;0.021092648;0.000122632;0.666666667;31.60658915;0.000118752;2.936722055;0.968539188
developers| scientists| engineers;researchers;0.000183948;0.021644491;0.000122632;0.666666667;30.80075543;0.00011865;2.935066528;0.967711272
developers| scientists;researchers| engineers;0.000245263;0.004230793;0.000122632;0.5;118.1811594;0.000121594;1.991538414;0.991781662
scientists| investors;engineers;0.000183948;0.021092648;0.000122632;0.666666667;31.60658915;0.000118752;2.936722055;0.968539188
local communities| environmental degradation;government agencies;0.000490527;0.013397511;0.000275921;0.5625;41.9854119;0.000269349;2.255091404;0.976661282
environmental degradation| government agencies;local communities;0.000490527;0.008921454;0.000275921;0.5625;63.05025773;0.000271545;2.26532239;0.98462262
local communities| environmental degradation| pollution;government agencies;0.000245263;0.013397511;0.000183948;0.75;55.9805492;0.000180662;3.946409958;0.982377594
local communities| environmental degradation| government agencies;pollution;0.000275921;0.006591453;0.000183948;0.666666667;101.1410853;0.000182129;2.980225642;0.99038609
local communities| pollution| government agencies;environmental degradation;0.000398553;0.002820529;0.000183948;0.461538462;163.6354515;0.000182823;1.851904733;0.99428513
environmental degradation| pollution| government agencies;local communities;0.000183948;0.008921454;0.000183948;1;112.0893471;0.000182306;inf;0.991260886
local communities| environmental degradation;pollution;0.000490527;0.006591453;0.000245263;0.5;75.85581395;0.00024203;1.986817095;0.987301393
local communities| pollution;environmental degradation;0.0005825;0.002820529;0.000245263;0.421052632;149.2814645;0.00024362;1.722400905;0.99388018
loss of biodiversity| environmental degradation;local communities;0.000337237;0.008921454;0.00015329;0.454545455;50.94970322;0.000150281;1.816977334;0.98070353
