risks description,risk_type,keywords,sentence tags
delay risks| cost risks| earthquake risks| seismic risk| project cost overrun| project expected cost overrun| project expected time overrun| project expected time overrun penalty| construction schedule| cost| internal rate of return| gross and net revenue| contractual negotiations| environmental pollution-control problems| environmental transport modeling| probabilistic risk assessment| project financial parameters| construction progress| weather-risk-pricing behavioral patterns| adoption of ICJVs| critical risks, obstacles to appropriate risk allocation.,"Delay, Cost, Earthquake, Seismic, Project Cost Overrun, Project Expected Cost Overrun, Project Expected Time Overrun, Project Expected Time Overrun Penalty, Construction Schedule, Cost, Internal Rate of Return, Gross and Net Revenue, Contractual Negotiations, Environmental Pollution-Control Problems, Environmental Transport Modeling, Probabilistic Risk Assessment, Project Financial Parameters, Construction Progress, Weather-Risk-Pricing Behavioral Patterns, Adoption of ICJVs, Critical Risks, Obstacles to Appropriate Risk Allocation.","hybrid process, Analytical Hierarchy Process, risk matrix, Monte Carlo Simulation, delay risks, cost risks, earthquake risks, seismic risk, project"
Risk management of port projects| risk assessment| risk of failure| flood risk| collision risk| subsurface risk.,"Safety, economic, environmental, social.","Risk management, port projects, risk assessment, bootstrap confidence intervals, deconstruction life cycle, sewer pipelines, flood risk management, flood risk, collision risk, subsurface risk.","Environment Science, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Risk of post-construction of toll roads| Risk of ship collision and grounding| Cost overrun risks| Navigational collisions| Risk of CO2 emission from fumaroles| Risk of volcanic and tectonic earthquakes| Risk of mass movements| Risk of oil cargo tank breaching| Risk of oil tanker collisions| Risk of maritime traffic| Risk of maritime transportation| Risk of large-scale transport infrastructure projects| Risk of public-private partnership projects,"Financial, Technical, Managerial, Political, Economic, Natural, Legal","Risk Management, Risk Control Options, Risk Identification, Risk Analysis, Risk Propagation, Risk Perception, Risk Evolution","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance"
Risks in RoPax vessel safety levels| seismic risk assessment of steel frame building structures| ergonomic risk factors assessment for work-related musculoskeletal disorders| disinfection by-products in water supplies| loess landslide risk| construction engineering logistics risks.,"Technical, Health and Safety, Environmental, Financial.","Risk analysis, Risk control options, Seismic risk prediction, Rapid risk assessment tools, Construction engineering logistics risks.","Engineering Civil, Engineering Industrial, Engineering Manufacturing, Construction Building, Construction Technology, Transportation, Finance, Environment Science, Environment Studies, Management."
Earthquake| CJV formation| Weather risk. ,"Consequence, Financial, Technical. ","Risk-return tradeoff, FMEA, Fuzzy comprehensive evaluation. ","Environment Science, Environment Studies, Engineering Civil, Finance."
Probability of damaging event| Consequence of damage| Risk aversion| Relationship risk| Project risk| Pollution risk| Structural distress| Ship collision and grounding. ,"Financial, Human, Technical. ","Risk Acceptance, Risk Pricing, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Low system stability| Unbalanced allocation| Extreme expected loss| Flood risk| Drought-related financial risk| Trihalomethanes (THMs) risk| Risk of hazardous material release| Risk of tank truck transportation. ,"Financial, Technical, Natural, Health. ","Risk Analysis, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Environmental flow management| Microbial risk| Chemical risk| Seismic risk| Legal risk| Safety accidents| Risk prediction| Risk assessment| Earthquake risk| Seismic Risk Management. ,"Institutional and regulatory, Financial, Human resource, Disinfection-by-products, Reliability deficit, Cancer risk. ","Risk prediction, Risk management, Risk assessment, Risk mitigation. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Liquidity risk| Ergonomics risk| Uncertainty factors| Risk preference| Risk factors| Risk assessment| Risk evaluation| Risk allocation| Risk control| Risk reduction. ,"Financial, Technical, Operational. ","Risk Management, Risk Analysis. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
LNG spill| Wind farm project| Geological risk| Financial risk| Seismic risk| Drought risk| Fire risk. ,"Technical, Financial, Structural. ","Risk Breakdown Matrix, Risk Communication, Risk Analysis, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Revenue risk| Consumer risk| Financial risk| Socio-political risk| Ship collision and grounding. ,"Financial, Technical, Socio-political. ","Risk Analysis, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Fire| Windstorm| Derailments| Suicides| Slip| Trip and Fall| Hurricane| Flood. ,"Financial, Technical, Environmental. ","Risk Allocation, Risk Mitigation, Risk Perception, Risk Analysis. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Delays in completing railroad agreements| Unexpected utility encounter. ,"Financial, Technical, Delays. ","Risk Management, Project Complexity. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Release of well-executed letter of guarantee| Corruptions| Water Conflicts| Indoor Particle Sources| Fire Safety Issues| Oil Waste Disposal. ,"Financial, Technical, Legal. ","Risk Management, Risk Assessment. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Unclear data ownership| Inferior quality of secondary products| Under-pricing of dismantling job| Improper landfill operations| Inadequacy of landfill levy. ,"Financial, Technical, Quality. ","Risk Management, BIM Technology Application. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Hydrometeorological risk| Flooding| Groundwater contamination| Urban flooding| Water-related risks| Geotechnical and geological risk| Overweight traffic loads| Wind load. ,"Probability, Environmental, Social, Economic, Technical, Financial. ","Risk-based Inspection, Risk Classification, Risk Framework, Risk Appraisal, Risk-based Critical Path Scheduling, Life-cycle Risk Management, Sustainable Flood Risk Management, Risk-informed Design. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Karst risk| Coastal flood risk| Confined space risk| Structural risk| Cliff protection risk. ,"Financial, Technical, Economic, Social, Environmental. ","Risk Management, Risk Allocation, Resilience. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Dam failure| Floods| Heat waves| Microbial contamination| Driving behavior| Missing data| Aging and deterioration of dams| Knee WMSD risk| Risk of microbial contamination. ,"Economic, Loss of life, Health, Safety. ","Risk Assessment, Data Fusion, Risk Prediction, Risk Analysis. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
System Analysis| Construction Projects| Landslides| Earthquake-induced Landslide| Railway Safety Case| Transportation Risk Probability| Commodity Prices| Unforeseen Project Risks. ,"Financial, Technical, Natural. ","Risk Assessment, Risk Mitigation, Risk Control. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Understanding possible failures| Quantitative risk assessment| Historical records of dam performance| Solutions to known problems| Catastrophe risk| Contamination and ecological risks| Risk influencing factors| Landslide risk| Ship accidents| Tsunami disaster| Workplace distractions. ,"Financial, Technical, Environmental, Organizational, Health. ","Risk Assessment, Analytic Network Process, Triangular Fuzzy Number, Super Matrix, Catastrophe Risk Management, Mixed-Integer Programming, Failure Mode Effects Analysis, Boussinesq Equations, Nonlinear Shallow-Water Equations. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Deficient concrete public buildings| Human cancer| Workplace accidents| Lease or build decision| Bridge infrastructure| Water transportation| Geological hazard| Microtunneling| Freeway dangerous chemicals transportation| Concrete bridge deterioration| Global Earthquake Model. ,"Structural, Health, Safety, Financial, Technical, Environmental, Instability. ","Risk Assessment, Risk Control, HIRARC, System Engineering, Fuzzy Set Theory, Clustering Analysis, Analytical Hierarchy Process. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Unforeseeable and invisible conditions| Quality risk| Flood risk| Safety risk| Contamination risk| Risk-taking behavior. ,"Financial, Technical, Ecological, Health. ","Risk Management, Risk Early Warning System, Risk Sharing, Risk Assessment. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Workplace hazards| Severe workplace injuries| Cancer risk| Slope landslides| Climate risk| Seismic risk| Risk of TBM tunneling| Risk of deep foundation pits| Risk of LNG terminal| Risk of hurricane evacuation. ,"Safety, Economic, Toxicological, Structural, Environmental, Financial. ","Risk Mitigation, Risk Assessment, Risk Prediction, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Climate model projections| Hurricane frequency and intensity| Safety risk prediction| Flood disaster| Economic risks| Heavy snow disaster| Seismic hazards| Traffic sign bridges| Tunnel collapse. ,"Financial, Technical, Environmental, Physical. ","Risk Assessment, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Design and documentation risks| Site operations risks| Contract and management risks| Quality and quantity dissimilarity| Change in scope of work/design| Deficiency of manpower| Planning and management| Technical errors. ,"Financial, Technical, Social. ","Risk assessment, Risk management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Damage to water supply systems| Ship grounding| Fire propagation| Vehicle design risk| Seismic risk. ,"Physical, Financial, Technical, Environmental. ","Risk Management, Design for Safety, Social Discount Rate, Systematic Risk. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Flood Risk| Risk Compensation| Operational Risk| Earthquake Risk| Construction Risk| Landslide Risk| Fire Risk| Heavy Metal Pollution Risk. ,"Financial, Technical, Cognitive, Seismic, Environmental, Societal. ","Risk Assessment, Risk Mitigation, Risk-Informed Regulation, Risk Recognition. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Leakage risk of tunnel construction projects| Seismic risk| Contaminated land risk| Construction safety and health risk| Ship collision risk| Wastewater treatment plant risk. ,"Financial, Technical, Environmental, Health. ","Risk Perception, Risk Control, Risk Assessment. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Collision risk| Water inflow and inrush| Schedule risk| Lane-change decision| Subcontracting management| Water inrush in tunnels| Disaster risk reduction| Groundwater contamination. ,"Financial, Technical, Time, Cost, Reputation. ","Risk Perception, Risk Propensity, Risk Acceptance, Risk Evaluation. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Groundwater pollution| Terrorist threat mitigation| Human-related risks| Nitrate health risk| Tunneling risks| Construction project delays. ,"Environmental, Financial, Technical, Health. ","Risk Perception, Risk Communication, Risk Assessment, Risk Mitigation. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Structural| scour| seismic| drift| vehicle impact| settlement| collision| flooding. ,"Technical, financial. ","Risk index, risk assessment, risk mitigation, risk management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Legitimacy| Risk Breakdown Structure| Risk Management| Fire Risk| Hurricane Risk| Environmental Risk| Seismic Risk| Pipe Jacking Risk. ,"Theoretical, Knowledge-Based, Financial, Technical, Structural, Environmental, Seismic. ","Risk Assessment, Risk Management, Baseline Study, Seismic Risk, Fuzzy Inference, Failure Mode and Effect Analysis. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Vehicle barriers| Blast resistant glazing| Defects| Seismic hazards| Corruption risks| Seawater intrusion| Storm surge| Groundwater pollution| Endemic diseases| Soil salinization| Electrician trade hazards| Occupational corruption risks| Urban geoenvironmental risk| Mudflow hazard and risk| Riverine flood risk. ,"Economic, Quality, Safety, Technical. ","Risk Assessment, Hazard Recognition, Risk Perception, Risk Apportionment, Risk Allowances. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Health risks| Dam-break flood risk| WMSD risk| Refinancing cost| Flood risk| Vandalism risk| Contaminated materials risk| Short-term financing risk| Revenue risk-sharing mechanisms risk| Operating-phase-specific risks| Cash flow shortage risk. ,"Technical, Market, Financial. ","Risk Analysis, Risk Assessment, Risk Efficient Management, Risk Sensitivity, Risk Factors. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Collapse| Rotavirus infection| Corrosion| Hurricanes| Cut column| Wastewater treatment| Marine machinery system failure| Energy transition| Electricity transmission grid| Unreinforced masonry building| Investment return. ,"Legal, Financial, Logistical, Environmental, Management, Technical. ","Risk assessment, Risk governance, Risk mitigation, Risk prioritisation. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Public sentiments| transparency concerns| value for money| district heating pipes| multivehicular collisions| COVID-19 pandemic| flood risk| OHS risk| flame retardants. ,"Financial, Technical, Legal, Health and Safety. ","Risk Identification, Risk Assessment, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Flood hazard| DHF outbreak| Compound flooding| Flood control operation| Flood control risk. ,"Financial, Technical, Physical. ","Risk Assessment, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Flood| Train Collision| Groundwater Exploitation| HSE Issues| High-Risk Drivers| Sea Ice Accumulation. ,"Environmental, Operational, Financial, Technical. ","Risk Assessment, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Economic risk| Life risk| Driver profiling| Flood water conservation| Fire accident| Rear-end crash risk| Political risk| Sudden water pollution| Dams| Maritime supply chain| Floating tunnel. ,"Financial, Technical, Economic, Life, Safety. ","Risk Assessment, Risk Reduction, Risk Probability, Risk Scoring. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Investment risk| Oil spill risk| Green risk assessment| Breach due to overtopping| Safety risk. ,"Financial, Technical, Environmental. ","Risk assessment, Risk management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Land subsidence| Sea level rise| Poor electric contact| Struck-by-equipment hazard| Poor cooperation between multi-interface| Inappropriate design codes and standards| Lack of management practices and experiences| High initial investment| Lack of quality monitoring mechanism| Ship collision and grounding. ,"Physical, Environmental, Financial, Technical. ","Risk Assessment, Risk Analysis, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Reservoir inflow-forecasting errors| Outflow errors| Observation errors of reservoir storage capacity curve| Construction activities in general| Physical Factors| Organizational Factor| Work Environment| Safety Environment| Design Factors| Safety Protection| Safety Behavior| Quality Factor| Vehicle operation risk| Cyber security threats| Earthquake risk| Ship collision and grounding. ,"Financial, Technical, Safety. ","Risk Assessment, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Encounter risk prediction| Landslide hazard and risk| Ship collision risk| Dam-break social risk| Water erosion risk| Photovoltaic industry risk| BOT road project revenue and traffic forecast risk| Avalanche risk| Drought risk| Debris flow risk. ,"Financial, Technical, Natural, Social. ","Risk Management, Risk Assessment, Risk Mitigation. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Complex and innovative structural systems| Grassland fire disasters| Service failure risks| Flood risk| Influenza mortality| Risk transfer| International construction| River-crossing shield tunnel| Marsh gas explosion| Existing tunnels. ,"Aleatory, Epistemic, Financial, Technical, Operational. ","Risk Analysis, Risk Assessment, Risk Attitude, Risk Transfer, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Construction cost overrun| Ship collision and grounding| Fire escalation| Undersea oil storage tank project| Earthquake| AC/DC Ultra High Voltage power system| Flood disaster| Risk analysis techniques| Probabilistic portfolio-level seismic risk assessment. ,"Financial, Technical, Safety, Robustness, Stability. ","Risk Management, Risk Communication, Risk Evaluation, Risk Control. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Project complexity| Broken rails| Traffic risk| Ultrasonic rail defect inspection| Carcinogenic hazardous substances| Risk of contracting work-related cancer| Risk of train accidents| Risk of rail transport of crude oil| Risk of budget allocation| Risk of railway construction| Risk of beautiful village construction| Flood risk management| Fire risk indexing| Deep foundation excavation| Policy failure. ,"Transaction, Relational, Performance, Technical, Environmental, Financial, Economic, Ecological. ","Risk Strategy, Risk Analysis, Risk Model, Risk Concession Model, Risk-Based Transportation Asset Management, Quantitative Risk Analysis, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Floods| Gas Explosion| Levee Instability| Seismic Risk| Construction Cost Overrun| Ship Collision and Grounding. ,"Financial, Technical, Ecological, Structural. ","Risk Assessment, Risk Characterization, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Project Risk Management| Flood Risk| Fire Risk| Motorcycling Risk| PPCPs and AMR Risk| Risk Taking. ,"Financial, Technical, Ecological, Human Health, Microbial. ","Risk Assessment, Risk Perception, Risk Management, Risk Taking. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Fall risks| Slope failure| Unsaturated slope failure| Airborne infection risk| Street-crossing risk| Rainstorm-induced flood risk. ,"Cognitive bias, Probabilistic, Financial, Technical. ","Risk Management, Mainstreaming DRR, Reasonable Care. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Fire occurrences| Failures in rail fasteners| Hydrologic variability| Lock-in| Road safety| Karst surface collapse| Occupational safety. ,"Financial, Technical, Hydrologic, Lock-in, Safety. ","Risk Assessment, Risk Management. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Collapse or deformations of flexible retaining walls| Flood damage| Coalmine fire| Pipe burst| Hydraulic transients| Flood-related hydraulic structures. ,"Geotechnical, Financial, Technical, Environmental. ","Risk assessment, Risk management, Risk transfer. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
Limited inflow forecasting| Punishment for hydropower station| Fatal or incapacitating crashes| Fatalities and injuries from construction work| Contamination of land| water and air| Unforeseen excavation of soil| Collision Risk| Risk of settlement| Risk of failure or near-failure of dams. ,"Financial, Technical, Safety, Environmental. ","Risk Breakdown Structure, Benefit-Cost Analysis, Risk Significance Index, Multi-Event Approach, Collision Risk Model, Risk-Based Best-Worst Method. ","Environment Science, Environment Studies, Engineering Civil, Engineering Industrial, Management, Engineering Manufacturing, Constructing Building, Constructing Technology, Transportation, Finance."
